  140).	   31.000  16.000  31.000    16.000 
  141).	   31.000  16.000  31.000    15.000 
  142).	   32.000  15.000  32.000    15.000 
  143).	   31.000  16.000  31.000    16.000 
  144).	   31.000  16.000  31.000    16.000 
  145).	   31.000  31.000  16.000    31.000 
  146).	   16.000  31.000  31.000    16.000 
  147).	   31.000  31.000  16.000    31.000 
  148).	   31.000  16.000  31.000    32.000 
  149).	   15.000  31.000  32.000    31.000 
  150).	   16.000  31.000  31.000    31.000 
  151).	   16.000  31.000  31.000    32.000 
  152).	   31.000  16.000  31.000    31.000 
  153).	   31.000  32.000  31.000    31.000 
  154).	   16.000  31.000  31.000    31.000 
  155).	   32.000  31.000  31.000    31.000 
  156).	   32.000  31.000  31.000    31.000 
  157).	   32.000  31.000  31.000    31.000 
  158).	   32.000  31.000  31.000    31.000 
  159).	   32.000  31.000  31.000    31.000 
  160).	   47.000  32.000  31.000    31.000 
  161).	   31.000  32.000  31.000    47.000 
  162).	   31.000  31.000  31.000    32.000 
  163).	   47.000  31.000  31.000    31.000 
  164).	   47.000  31.000  32.000    47.000 
  165).	   31.000  31.000  47.000    31.000 
  166).	   31.000  47.000  32.000    31.000 
  167).	   47.000  31.000  47.000    31.000 
  168).	   47.000  31.000  47.000    31.000 
  169).	   47.000  31.000  47.000    32.000 
  170).	   46.000  32.000  47.000    46.000 
  171).	   32.000  47.000  31.000    47.000 
  172).	   47.000  31.000  47.000    47.000 
  173).	   31.000  47.000  47.000    31.000 
  174).	   47.000  47.000  46.000    32.000 
  175).	   47.000  46.000  47.000    47.000 
  176).	   31.000  47.000  47.000    47.000 
  177).	   47.000  47.000  47.000    47.000 
  178).	   46.000  32.000  47.000    46.000 
  179).	   47.000  47.000  47.000    47.000 
  180).	   47.000  47.000  47.000    46.000 
  181).	   47.000  63.000  47.000    47.000 
  182).	   46.000  47.000  47.000    47.000 
  183).	   63.000  46.000  47.000    47.000 
  184).	   47.000  63.000  46.000    47.000 
  185).	   47.000  63.000  47.000    46.000 
